Elizabeth, Rogers, 11, 34380.53, 1001, 15, 2
Gregory, Gray, 13, 21806.6, 1002, 10, 8
Jennifer, Sanders, 15, 19237.02, 1003, 16, 11
Ruth, Ward, 2, 39603.58, 1004, 15, 8
Dorothy, Jones, 2, 93001.24, 1005, 12, 9
Melissa, Watson, 5, 79860.29, 1006, 5, 2
Ronald, Adams, 12, 58624.56, 1007, 19, 7
Stephanie, Cox, 3, 95153.45, 1008, 20, 8
Jessica, Turner, 20, 21655.13, 1009, 19, 4
Shirley, Sanders, 6, 4146.45, 1010, 15, 6
Emily, Hall, 23, 16700.72, 1011, 13, 5
Larry, Ross, 15, 12156.56, 1012, 17, 3
Sharon, Gomez, 2, 68159.84, 1013, 10, 4
Richard, Brown, 5, 24395.77, 1014, 11, 5
Emma, Foster, 5, 77201.54, 1015, 1, 7
Joshua, Peterson, 9, 48067.67, 1016, 9, 10
Sandra, James, 19, 67708.04, 1017, 2, 8
Timothy, Ruiz, 12, 48522.26, 1018, 12, 4
Daniel, Bailey, 2, 91543.55, 1019, 20, 7
Dennis, White, 18, 29673.34, 1020, 19, 9
Nicole, Sanders, 17, 97330.48, 1021, 9, 6
Linda, Reed, 1, 22088.43, 1022, 9, 10
Steven, Evans, 2, 79007.6, 1023, 11, 10
Justin, Brown, 16, 5405.6, 1024, 19, 1
Debra, Morales, 16, 87766.15, 1025, 6, 11
Jacob, Garcia, 22, 44874.31, 1026, 15, 2
Samuel, Lee, 6, 19520.82, 1027, 18, 9
Carolyn, Turner, 19, 54729.02, 1028, 11, 10
Margaret, Harris, 6, 59568.53, 1029, 15, 3
Shirley, Cooper, 21, 20253.47, 1030, 8, 10
Brenda, Brown, 2, 30032.86, 1031, 13, 7
Angela, Long, 17, 95426.65, 1032, 8, 1
Amanda, Rodriguez, 22, 33991.35, 1033, 17, 11
Carol, Allen, 6, 8116.88, 1034, 18, 7
Joshua, Mendoza, 4, 97997.31, 1035, 6, 3
Carolyn, Anderson, 13, 3807.73, 1036, 8, 3
Christopher, Kim, 21, 73291.48, 1037, 3, 9
null, Perez, 23, 63084.7, 1038, 7, 11
Brandon, Sanchez, 23, 78100.95, 1039, 14, 4
Jacob, Anderson, 16, 39200.32, 1040, 2, 4
Barbara, Hill, 7, 77705.58, 1041, 16, 5
Daniel, Hall, 16, 82428.09, 1042, 17, 6
Scott, Campbell, 5, 94743.92, 1043, 5, 10
Janet, Green, 3, 85640.82, 1044, 10, 7
Michelle, Baker, 12, 97831.01, 1045, 11, 1
David, Patel, 16, 89149.32, 1046, 2, 3
Virginia, Flores, 19, 41164.32, 1047, 9, 7
Jason, Kelly, 24, 6933.82, 1048, 16, 9
Eric, Kelly, 10, 68992.85, 1049, 2, 11
Catherine, Wilson, 9, 97634.8, 1050, 9, 5
Jessica, Ward, 14, 14509.78, 1051, 18, 3
Susan, Garcia, 20, 71171.3, 1052, 11, 3
Jeffrey, Martin, 15, 88111.21, 1053, 3, 10
Gregory, Kim, 4, 75739.48, 1054, 16, 11
Kenneth, Hall, 4, 67261.58, 1055, 9, 10
Brian, Reed, 3, 75748.61, 1056, 5, 3
Debra, Hill, 24, 494.1, 1057, 8, 1
Donald, Wright, 9, 37552.94, 1058, 13, 11
Helen, Watson, 22, 11577.11, 1059, 15, 2
Timothy, Chavez, 9, 80712.73, 1060, 13, 9
Mary, Sanders, 18, 52950.56, 1061, 12, 7
Deborah, Jimenez, 14, 95848.97, 1062, 4, 7
Shirley, Nelson, 18, 61384.97, 1063, 6, 7
Jerry, Thompson, 24, 97179.14, 1064, 2, 5
Carolyn, Kelly, 17, 76917.7, 1065, 7, 10
John, Ortiz, 17, 28678.55, 1066, 3, 9
George, Hill, 22, 94182.18, 1067, 19, 7
Nancy, Adams, 2, 37249.73, 1068, 17, 4
Sarah, Richardson, 22, 59379.48, 1069, 14, 10
Stephen, Parker, 21, 88016.31, 1070, 5, 2
Stephanie, Phillips, 14, 21869.83, 1071, 14, 5
Jennifer, Diaz, 12, 94483.52, 1072, 20, 6
Larry, Richardson, 10, 25870.5, 1073, 5, 6
Deborah, Gray, 7, 3035.08, 1074, 2, 7
Debra, Castillo, 15, 68736.26, 1075, 11, 4
Gary, Peterson, 21, 20081.1, 1076, 8, 11
Edward, Richardson, 8, 26635.03, 1077, 4, 4
Christopher, Turner, 11, 20622.82, 1078, 17, 8
Stephanie, Wright, 4, 10656.05, 1079, 1, 5
Nicole, Hernandez, 18, 93547.38, 1080, 16, 3
Katherine, Kelly, 8, 79071.26, 1081, 9, 3
Matthew, Rogers, 6, 31267.73, 1082, 20, 7
Ashley, Taylor, 14, 58206.16, 1083, 2, 8
Donna, Hall, 15, 60135.6, 1084, 3, 10
Laura, Patel, 16, 64138.88, 1085, 16, 5
Robert, Edwards, 9, 60457.21, 1086, 8, 8
Frank, Cruz, 9, 97884.68, 1087, 19, 11
null, Miller, 12, 46728.23, 1088, 13, 2
Shirley, Green, 13, 5840.41, 1089, 10, 7
Jennifer, Carter, 23, 61235.56, 1090, 13, 8
Helen, Myers, 17, 99815.17, 1091, 17, 6
Ronald, Reyes, 1, 47294.19, 1092, 16, 6
Kenneth, Ramos, 6, 27783.85, 1093, 8, 10
Larry, Garcia, 20, 30455.63, 1094, 13, 9
Christopher, Hughes, 4, 71781.21, 1095, 1, 5
Shirley, Green, 8, 36429.4, 1096, 1, 10
Richard, Reyes, 1, 92967.1, 1097, 13, 3
Betty, Jackson, 20, 33387.52, 1098, 20, 5
Ronald, Anderson, 1, 82400.46, 1099, 12, 10
Anthony, White, 14, 70931.53, 1100, 17, 2
